#,Nombre,Tipo,Localidad,Barrio,Dirección,Celular,Teléfono Fijo,Email,Sitio Web,Instagram,Calificación Google,Reseñas,Score Digital,Oportunidad,Servicio Recomendado,Estado,Contactado,Fecha Contacto,Notas
35,CrossFit Fit,Gimnasio,Ciudad Bolívar,El Tunal,"Dg 50 #56-26, El Tunal",3216224822,6014497622,crossfit.fit.col@yahoo.com,No,No,3.7,4,90,ALTA,Redes Sociales + Lead Qualifier Bot,Pendiente,No,,
36,Animal El Arca,Veterinaria,Los Mártires,Paloquemao,"Dg 167 #70-29, Paloquemao",3018830027,6014072347,animal.el.arca.col@gmail.com,No,No,3.8,0,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
37,Clínica Veterinaria Bienestar,Veterinaria,Kennedy,Kennedy Central,"Dg 175 #34-44 Sur, Kennedy Central",3123280375,,clinica.veterinaria.bien6@hotmail.com,No,No,3.6,6,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
38,Veterinaria Tu Mascota,Veterinaria,Barrios Unidos,La Castellana,"Tv 50 #42-31, La Castellana",3235065226,,veterinaria.tu.mascota@outlook.com,No,No,3.6,9,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
39,Clínica Veterinaria El Nido,Veterinaria,San Cristóbal,Bello Horizonte,"Cr 99 #142-16, Bello Horizonte",3057420312,,clinica.veterinaria.el.n53@yahoo.com,No,No,3.7,3,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
40,Pet Mi Mascota,Veterinaria,Teusaquillo,Marsella,"Dg 147 #115-66, Marsella",3217233157,6015993563,pet.mi.mascota@hotmail.com,No,No,3.4,4,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
41,Pet Fiel Amigo,Veterinaria,San Cristóbal,La Victoria,"Dg 5 #75-48, La Victoria",3159560854,,pet.fiel.amigo.bogota@yahoo.com,No,No,3.5,9,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
42,Ferrelectricos El Nivel,Ferretería,Tunjuelito,Santa Lucía,"Cl 147 #110-18, Santa Lucía",3103145738,6013052293,ferrelectricos.el.nivel54@hotmail.com,No,No,3.5,1,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
43,Ferrelectricos La Herramienta,Ferretería,Antonio Nariño,San Antonio,"Av 41 #77-79, San Antonio",3196174290,,ferrelectricos.la.herram@gmail.com,No,No,3.7,8,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
44,Ferretería Don Tulio,Ferretería,Suba,Prado Veraniego,"Cr 96 #52-46, Prado Veraniego",3186686214,,ferreteria.don.tulio.bogota@gmail.com,No,No,3.0,7,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
45,Constructor El Ladrillo,Ferretería,Ciudad Bolívar,Jerusalem,"Dg 180 #141-14, Jerusalem",3101928495,,constructor.el.ladrillo.bogota@yahoo.com,No,No,3.8,2,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
46,Constructor La Herramienta,Ferretería,Suba,Niza,"Dg 61 #69-3, Niza",3127067001,,constructor.la.herramien54@outlook.com,No,No,3.8,6,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
47,Ropa El Outfit,Tienda de ropa,Suba,Alhambra,"Cr 118 #101-36, Alhambra",3002836772,6013728243,ropa.el.outfit19@gmail.com,No,No,3.8,5,90,ALTA,E-Commerce + Pautas Digitales,Pendiente,No,,
48,Boutique Style,Tienda de ropa,Chapinero,Marly,"Cl 121 #83-3, Marly",3242187046,,boutique.style.bogota@gmail.com,No,No,2.9,28,90,ALTA,E-Commerce + Pautas Digitales,Pendiente,No,,
49,Moda Chic,Tienda de ropa,Bosa,San Pablo,"Cl 77 #64-65 Sur, San Pablo",3135932976,6016262613,moda.chic@gmail.com,No,No,3.4,5,90,ALTA,E-Commerce + Pautas Digitales,Pendiente,No,,
50,Residencias La Floresta,Hotel,Engativá,Las Ferias,"Cl 107 #39-8, Las Ferias",3245447680,,residencias.la.floresta@gmail.com,No,No,3.6,7,90,ALTA,E-Commerce + WhatsApp Bot,Pendiente,No,,
51,Residencias Los Andes,Hotel,Kennedy,Américas,"Dg 177 #21-48, Américas",3128710999,,residencias.los.andes.bogota@gmail.com,No,No,3.7,4,90,ALTA,E-Commerce + WhatsApp Bot,Pendiente,No,,
52,Apart Hotel Los Andes,Hotel,Chapinero,Chicó Norte,"Av 60 #79-18, Chicó Norte",3181148612,,apart.hotel.los.andes10@yahoo.com,No,No,3.9,4,90,ALTA,E-Commerce + WhatsApp Bot,Pendiente,No,,
53,Hotel La Ruta,Hotel,Fontibón,Fontibón Centro,"Dg 103 #49-62, Fontibón Centro",3244733323,,hotel.la.ruta@gmail.com,No,No,3.0,5,90,ALTA,E-Commerce + WhatsApp Bot,Pendiente,No,,
54,Hostal El Campanario,Hotel,Engativá,Boyacá Real,"Cl 132 #13-35, Boyacá Real",3148946978,,hostal.el.campanario.bogota@hotmail.com,No,No,3.5,0,90,ALTA,E-Commerce + WhatsApp Bot,Pendiente,No,,
55,Papelería El Libro,Papelería,Chapinero,Quinta Camacho,"Cl 153 #97-28, Quinta Camacho",3123013771,,papeleria.el.libro@outlook.com,No,No,3.7,2,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
56,Útiles La Agenda,Papelería,Bosa,Apogeo,"Cl 70 #97-40, Apogeo",3228473649,,utiles.la.agenda62@gmail.com,No,No,3.6,4,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
57,Copias La Hoja,Papelería,Fontibón,Ciudad Salitre,"Dg 57 #92-80, Ciudad Salitre",3019648858,6016555580,copias.la.hoja.bogota@gmail.com,No,No,3.8,6,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
58,Útiles El Borrador,Papelería,Santa Fe,Lourdes,"Av 79 #79-96, Lourdes",3028395894,,utiles.el.borrador61@gmail.com,No,No,3.3,7,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
59,Papelería El Estudio,Papelería,Puente Aranda,Ciudad Montes,"Dg 176 #143-35, Ciudad Montes",3152990946,,papeleria.el.estudio.col@yahoo.com,No,No,3.8,3,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
60,Servicio El Freno,Taller mecánico,Rafael Uribe,Marco Fidel,"Cl 111 #134-9 Sur, Marco Fidel",3109595864,6016299826,servicio.el.freno5@yahoo.com,No,No,3.8,1,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
61,Taller Pro Auto,Taller mecánico,Tunjuelito,Abraham Lincoln,"Dg 136 #24-40, Abraham Lincoln",3244701979,6013926660,taller.pro.auto79@outlook.com,No,No,3.8,8,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
62,Automotriz El Pistón,Taller mecánico,Teusaquillo,Cundinamarca,"Cr 135 #139-51, Cundinamarca",3214713671,6017174725,automotriz.el.piston3@outlook.com,No,No,2.6,0,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
63,Salud Económica,Farmacia,Fontibón,Ciudad Salitre,"Cl 29 #67-43, Ciudad Salitre",3014872964,,salud.economica.col@hotmail.com,No,No,3.8,9,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
64,Salud El Doctor,Farmacia,Tunjuelito,Tunjuelito,"Cr 49 #66-81, Tunjuelito",3179371550,,salud.el.doctor.bogota@gmail.com,No,No,2.5,11,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
65,Salud Tu Salud,Farmacia,Puente Aranda,Puente Aranda,"Cr 144 #115-6, Puente Aranda",3173870131,,salud.tu.salud.col@gmail.com,No,No,3.3,1,90,ALTA,Página Web + WhatsApp Bot,Pendiente,No,,
66,Preescolar El Arco Iris,Jardín infantil,Suba,Colina Campestre,"Av 13 #89-86, Colina Campestre",3037681422,6014247156,preescolar.el.arco.iris6@yahoo.com,No,No,3.9,0,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
67,Nido El Jardín,Jardín infantil,Rafael Uribe,Marruecos,"Tv 140 #58-35 Sur, Marruecos",3248841717,,nido.el.jardin8@gmail.com,No,No,3.8,4,90,ALTA,Página Web + Redes Sociales,Pendiente,No,,
68,Centro de Formación Del Deporte,Academia,Ciudad Bolívar,El Tunal,"Cl 142 #120-30, El Tunal",3011338412,,centro.de.formacion.del..col@hotmail.com,No,No,3.6,3,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
69,Instituto Digital,Academia,Usme,Gran Yomasa,"Cr 71 #8-46, Gran Yomasa",3242758814,,instituto.digital.bogota@gmail.com,No,No,3.7,9,90,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
70,Naturalmente La Hoja Verde,Tienda naturista,La Candelaria,Centro Histórico,"Dg 152 #39-78, Centro Histórico",3147694176,6012848052,naturalmente.la.hoja.ver.col@hotmail.com,No,No,3.5,0,90,ALTA,E-Commerce + Redes Sociales,Pendiente,No,,
71,Bienestar La Espirulina,Tienda naturista,Ciudad Bolívar,Lucero,"Av 123 #38-7 Sur, Lucero",3049024704,,bienestar.la.espirulina@gmail.com,No,No,3.7,5,90,ALTA,E-Commerce + Redes Sociales,Pendiente,No,,
72,Verde La Manzanilla,Tienda naturista,Usme,Alfonso López,"Cr 13 #2-75 Sur, Alfonso López",3041406192,,verde.la.manzanilla4@gmail.com,No,No,3.5,2,90,ALTA,E-Commerce + Redes Sociales,Pendiente,No,,
73,Sala de Belleza Transformación,Sala de belleza,Bosa,San José,"Tv 46 #56-71 Sur, San José",3174499474,6016338832,sala.de.belleza.transfor83@gmail.com,No,No,2.9,5,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
74,La Pizza de Express,Pizzería,Antonio Nariño,San Antonio,"Dg 26 #69-52, San Antonio",3107419262,,la.pizza.de.express80@gmail.com,No,No,3.6,6,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
75,Pizza House Artesanal,Pizzería,Suba,Niza,"Cl 23 #108-84, Niza",3139674879,,pizza.house.artesanal77@gmail.com,No,No,3.8,8,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
76,Pizzería Roma,Pizzería,Tunjuelito,Santa Lucía,"Cl 43 #32-69 Sur, Santa Lucía",3115563890,,pizzeria.roma.bogota@yahoo.com,No,No,3.1,29,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
77,La Pizza de La Italiana,Pizzería,Ciudad Bolívar,Ismael Perdomo,"Av 15 #121-53 Sur, Ismael Perdomo",3212414482,,la.pizza.de.la.italiana.col@gmail.com,No,No,3.8,7,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
78,Pizza House La Leña,Pizzería,Rafael Uribe,Marruecos,"Cr 134 #97-96 Sur, Marruecos",3231595703,,pizza.house.la.lena7@gmail.com,No,No,3.9,7,90,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
79,Fritanga El Bodegón,Restaurante,Los Mártires,Paloquemao,"Cl 6 #21-64, Paloquemao",3056997991,,fritanga.el.bodegon.col@outlook.com,No,No,4.3,9,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
80,El Sabor de La Hacienda,Restaurante,Kennedy,Castilla,"Dg 159 #51-88 Sur, Castilla",3156982819,,el.sabor.de.la.hacienda.bogota@gmail.com,No,No,4.7,4,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
81,Rincón El Puerto,Restaurante,Santa Fe,Las Nieves,"Dg 61 #70-57, Las Nieves",3219447847,,rincon.el.puerto4@yahoo.com,No,No,4.4,1,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
82,Cocina El Rancho,Restaurante,Tunjuelito,Tunjuelito,"Dg 76 #96-8 Sur, Tunjuelito",3232854504,6015533248,cocina.el.rancho.bogota@gmail.com,No,No,5.0,6,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
83,Donde El Llano,Restaurante,Suba,Niza,"Tv 27 #25-97, Niza",3111295481,,donde.el.llano32@outlook.com,No,No,4.3,3,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
84,Sazón Mi Tolima,Restaurante,Mártires,Ricaurte,"Dg 37 #99-10, Ricaurte",3021661783,,sazon.mi.tolima@gmail.com,No,No,4.5,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
85,Ajiaco El Arepazo,Restaurante,La Candelaria,La Candelaria,"Dg 44 #81-71, La Candelaria",3229240665,,ajiaco.el.arepazo.col@outlook.com,No,No,4.2,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
86,Asadero Cielo Verde,Restaurante,San Cristóbal,San Cristóbal,"Cl 146 #111-99 Sur, San Cristóbal",3213618559,6015560310,asadero.cielo.verde1@gmail.com,No,No,4.3,9,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
87,Ajiaco Los Girasoles,Restaurante,San Cristóbal,San Cristóbal,"Tv 142 #111-84 Sur, San Cristóbal",3027714202,,ajiaco.los.girasoles62@outlook.com,No,No,4.5,2,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
88,Rincón El Paisa,Restaurante,Usme,Gran Yomasa,"Av 23 #63-64, Gran Yomasa",3168816707,6015827957,rincon.el.paisa.bogota@gmail.com,No,No,4.8,9,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
89,Coffee La Taza,Cafetería,Fontibón,Granjas,"Tv 56 #39-4, Granjas",3031652302,6014496480,coffee.la.taza11@gmail.com,No,No,4.8,6,85,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
90,Tostado El Rincón,Cafetería,Teusaquillo,La Soledad,"Av 43 #32-15, La Soledad",3245011813,,tostado.el.rincon.bogota@hotmail.com,No,No,4.3,1,85,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
91,El Café de La Brisa,Cafetería,Los Mártires,Samper Mendoza,"Cr 81 #120-4, Samper Mendoza",3106125478,,el.cafe.de.la.brisa@yahoo.com,No,No,5.0,0,85,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
92,Café La Esquina,Cafetería,Barrios Unidos,La Castellana,"Av 113 #23-32, La Castellana",3161766914,6012121984,cafe.la.esquina.col@yahoo.com,No,No,4.2,5,85,ALTA,Redes Sociales + Pautas Digitales,Pendiente,No,,
93,Barber Top Style,Peluquería,Bosa,Apogeo,"Dg 171 #138-61 Sur, Apogeo",3147232831,,barber.top.style45@gmail.com,No,No,4.7,8,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
94,Corte Las Tijeras,Peluquería,La Candelaria,Las Aguas,"Dg 88 #131-81, Las Aguas",3123642223,6012509662,corte.las.tijeras.bogota@outlook.com,No,No,4.2,2,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
95,Studio Hair Urban,Peluquería,San Cristóbal,La Victoria,"Tv 94 #101-73 Sur, La Victoria",3138846648,6017119842,studio.hair.urban.col@hotmail.com,No,No,4.8,5,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
96,Studio Hair Bros,Peluquería,Usaquén,Unicentro,"Dg 42 #67-62, Unicentro",3209464072,6016045836,studio.hair.bros1@gmail.com,No,No,4.4,1,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
97,Barber Las Tijeras,Peluquería,Bosa,Occidental,"Dg 82 #66-54, Occidental",3248277580,,barber.las.tijeras.bogota@gmail.com,No,No,4.0,9,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
98,Barbería Corte Real,Peluquería,Chapinero,Chicó Norte,"Cr 149 #129-69, Chicó Norte",3015122171,,barberia.corte.real88@outlook.com,No,No,4.8,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
99,Corte Nueva Imagen,Peluquería,Barrios Unidos,San Fernando,"Dg 168 #69-4, San Fernando",3043970520,6017645161,corte.nueva.imagen1@gmail.com,No,No,4.0,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
100,Corte La Moda,Peluquería,La Candelaria,La Candelaria,"Dg 53 #145-76, La Candelaria",3182302326,6014785720,corte.la.moda.col@yahoo.com,No,No,4.0,5,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
101,Peluquería La Tijera,Peluquería,Teusaquillo,Marsella,"Cl 99 #52-68, Marsella",3016095758,6014539690,peluqueria.la.tijera.col@hotmail.com,No,No,5.0,2,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
102,Barber Pro,Peluquería,La Candelaria,Centro Histórico,"Av 120 #13-98, Centro Histórico",3114494306,,barber.pro16@outlook.com,No,No,4.9,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
103,Peluquería Urban,Peluquería,Mártires,La Pepita,"Av 176 #93-48, La Pepita",3141213090,,peluqueria.urban@hotmail.com,No,No,4.5,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
104,Corte Top Style,Peluquería,Usme,Parque Entrenubes,"Cr 31 #69-53 Sur, Parque Entrenubes",3112191484,6012089874,corte.top.style@yahoo.com,No,No,4.4,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
105,Barbería La Moda,Peluquería,San Cristóbal,Veinte de Julio,"Tv 65 #126-37, Veinte de Julio",3118973681,,barberia.la.moda8@gmail.com,No,No,4.9,7,85,ALTA,Redes Sociales + WhatsApp Bot,Pendiente,No,,
106,Nails Aura,Estética,Tunjuelito,Venecia,"Av 3 #114-94, Venecia",3035670395,,nails.aura.bogota@yahoo.com,No,No,4.2,5,85,ALTA,Página Web + Redes Sociales,Pendiente,No,,
107,Studio La Esencia,Estética,Rafael Uribe,Chiguaza,"Tv 31 #30-61, Chiguaza",3035765406,6017754496,studio.la.esencia.col@gmail.com,No,No,4.2,0,85,ALTA,Página Web + Redes Sociales,Pendiente,No,,
108,Centro de Estética Top Model,Estética,Usme,Usme Centro,"Av 147 #75-8, Usme Centro",3235225468,,centro.de.estetica.top.m8@hotmail.com,No,No,4.9,9,85,ALTA,Página Web + Redes Sociales,Pendiente,No,,
109,Sonrisas Dental Plus,Clínica dental,Rafael Uribe,Bravo Páez,"Cr 136 #136-3, Bravo Páez",3234521880,,sonrisas.dental.plus6@yahoo.com,No,No,4.1,0,85,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
110,Odonto Sonrisa Sana,Clínica dental,Rafael Uribe,Bravo Páez,"Av 5 #18-82 Sur, Bravo Páez",3198015261,,odonto.sonrisa.sana.bogota@hotmail.com,No,No,5.0,8,85,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
111,Odonto La Cura,Clínica dental,Engativá,Santa Helenita,"Tv 129 #67-61, Santa Helenita",3121639919,6017983235,odonto.la.cura@gmail.com,No,No,4.4,4,85,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
112,Odonto Nueva Sonrisa,Clínica dental,Chapinero,Marly,"Av 32 #28-92, Marly",3248584095,,odonto.nueva.sonrisa4@outlook.com,No,No,4.3,5,85,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
113,Sonrisas Orto Center,Clínica dental,Engativá,Las Ferias,"Av 61 #107-95, Las Ferias",3231586261,,sonrisas.orto.center.bogota@gmail.com,No,No,4.8,1,85,ALTA,Página Web + Lead Qualifier Bot,Pendiente,No,,
